doleva,corrans,sipkaframu,nahore,pauza,blok,no3
1,left,2,1,0,3,162
0,right,2,1,0,3,163
1,left,2,0,0,3,164
1,left,2,0,0,3,165
1,left,2,1,0,3,166
0,right,2,1,0,3,167
1,left,2,1,0,3,168
1,left,4,1,1,4,169
0,right,0,0,0,4,170
1,left,0,0,0,4,171
1,left,3,0,0,4,172
0,right,3,1,0,4,173
1,left,0,0,0,4,174
1,left,0,0,0,4,175
1,left,3,0,0,4,176
1,left,0,1,0,4,177
1,left,3,1,0,4,178
0,right,3,1,0,4,179
0,right,4,0,0,4,180
0,right,3,0,0,4,181
1,left,3,1,0,4,182
1,left,3,0,0,4,183
0,right,3,1,0,4,184
0,right,0,0,0,4,185
1,left,0,1,0,4,186
0,right,0,1,0,4,187
0,right,3,0,0,4,188
0,right,3,0,0,4,189
0,right,3,0,0,4,190
1,left,4,1,0,4,191
0,right,0,0,0,4,192
1,left,0,1,0,4,193
1,left,0,1,0,4,194
0,right,3,1,0,4,195
0,right,0,1,0,4,196
1,left,0,1,0,4,197
1,left,0,0,0,4,198
1,left,0,0,0,4,199
1,left,0,0,0,4,200
0,right,0,1,0,4,201
0,right,4,1,0,4,202
0,right,3,0,0,4,203
1,left,0,1,0,4,204
1,left,0,0,0,4,205
1,left,3,0,0,4,206
0,right,3,0,0,4,207
0,right,3,1,0,4,208
0,right,0,0,0,4,209
1,left,3,0,0,4,210
1,left,3,1,0,4,211
0,right,3,1,0,4,212
1,left,4,1,0,4,213
0,right,3,1,0,4,214
1,left,3,1,0,4,215
0,right,0,1,0,4,216
1,left,0,1,0,4,217
0,right,0,0,0,4,218
0,right,3,1,0,4,219
0,right,3,0,0,4,220
1,left,0,1,0,4,221
0,right,0,0,0,4,222
1,left,3,0,0,4,223
0,right,4,1,0,4,224
0,right,3,0,0,4,225
1,left,0,0,0,4,226
1,left,0,0,0,4,227
0,right,0,1,0,4,228
1,left,3,1,0,4,229
1,left,3,0,0,4,230
1,left,0,1,0,4,231
0,right,0,0,0,4,232
0,right,3,1,0,4,233
1,left,3,1,0,4,234
0,right,4,1,0,4,235
0,right,3,0,0,4,236
0,right,3,0,0,4,237
1,left,3,0,0,4,238
0,right,0,1,0,4,239
0,right,0,0,0,4,240
1,left,3,0,0,4,241
0,right,3,0,0,4,242
0,right,0,0,0,4,243
0,right,0,1,0,4,244
1,left,3,0,0,4,245
1,left,4,0,0,4,246
0,right,0,0,0,4,247
1,left,0,1,0,4,248
0,right,3,1,0,4,249
0,right,0,0,0,4,250
1,left,0,1,0,4,251
1,left,3,0,0,4,252
0,right,3,1,0,4,253
1,left,3,1,0,4,254
0,right,0,1,0,4,255
0,right,0,0,0,4,256
1,left,4,1,1,5,257
0,right,0,0,0,5,258
1,left,0,0,0,5,259
1,left,2,0,0,5,260
0,right,2,1,0,5,261
1,left,0,0,0,5,262
1,left,0,0,0,5,263
1,left,2,0,0,5,264
1,left,0,1,0,5,265
1,left,2,1,0,5,266
0,right,2,1,0,5,267
0,right,4,0,0,5,268
0,right,2,0,0,5,269
1,left,2,1,0,5,270
1,left,2,0,0,5,271
0,right,2,1,0,5,272
0,right,0,0,0,5,273
1,left,0,1,0,5,274
0,right,0,1,0,5,275
0,right,2,0,0,5,276
0,right,2,0,0,5,277
0,right,2,0,0,5,278
1,left,4,1,0,5,279
0,right,0,0,0,5,280
1,left,0,1,0,5,281
1,left,0,1,0,5,282
0,right,2,1,0,5,283
0,right,0,1,0,5,284
1,left,0,1,0,5,285
1,left,0,0,0,5,286
1,left,0,0,0,5,287
1,left,0,0,0,5,288
0,right,0,1,0,5,289
0,right,4,1,0,5,290
0,right,2,0,0,5,291
1,left,0,1,0,5,292
1,left,0,0,0,5,293
1,left,2,0,0,5,294
0,right,2,0,0,5,295
0,right,2,1,0,5,296
0,right,0,0,0,5,297
1,left,2,0,0,5,298
1,left,2,1,0,5,299
0,right,2,1,0,5,300
1,left,4,1,0,5,301
0,right,2,1,0,5,302
1,left,2,1,0,5,303
0,right,0,1,0,5,304
1,left,0,1,0,5,305
0,right,0,0,0,5,306
0,right,2,1,0,5,307
0,right,2,0,0,5,308
1,left,0,1,0,5,309
0,right,0,0,0,5,310
1,left,2,0,0,5,311
0,right,4,1,0,5,312
0,right,2,0,0,5,313
1,left,0,0,0,5,314
1,left,0,0,0,5,315
0,right,0,1,0,5,316
1,left,2,1,0,5,317
1,left,2,0,0,5,318
1,left,0,1,0,5,319
0,right,0,0,0,5,320
0,right,2,1,0,5,321
1,left,2,1,0,5,322
0,right,4,1,0,5,323
0,right,2,0,0,5,324
0,right,2,0,0,5,325
1,left,2,0,0,5,326
0,right,0,1,0,5,327
0,right,0,0,0,5,328
1,left,2,0,0,5,329
0,right,2,0,0,5,330
0,right,0,0,0,5,331
0,right,0,1,0,5,332
1,left,2,0,0,5,333
1,left,4,0,0,5,334
0,right,0,0,0,5,335
1,left,0,1,0,5,336
0,right,2,1,0,5,337
0,right,0,0,0,5,338
1,left,0,1,0,5,339
1,left,2,0,0,5,340
0,right,2,1,0,5,341
1,left,2,1,0,5,342
0,right,0,1,0,5,343
0,right,0,0,0,5,344
1,left,4,1,1,6,345
0,right,0,0,0,6,346
1,left,0,0,0,6,347
1,left,1,0,0,6,348
0,right,1,1,0,6,349
1,left,0,0,0,6,350
1,left,0,0,0,6,351
1,left,1,0,0,6,352
1,left,0,1,0,6,353
1,left,1,1,0,6,354
0,right,1,1,0,6,355
0,right,4,0,0,6,356
0,right,1,0,0,6,357
1,left,1,1,0,6,358
1,left,1,0,0,6,359
0,right,1,1,0,6,360
0,right,0,0,0,6,361
1,left,0,1,0,6,362
0,right,0,1,0,6,363
0,right,1,0,0,6,364
0,right,1,0,0,6,365
0,right,1,0,0,6,366
1,left,4,1,0,6,367
0,right,0,0,0,6,368
1,left,0,1,0,6,369
1,left,0,1,0,6,370
0,right,1,1,0,6,371
0,right,0,1,0,6,372
1,left,0,1,0,6,373
1,left,0,0,0,6,374
1,left,0,0,0,6,375
1,left,0,0,0,6,376
0,right,0,1,0,6,377
0,right,4,1,0,6,378
0,right,1,0,0,6,379
1,left,0,1,0,6,380
1,left,0,0,0,6,381
1,left,1,0,0,6,382
0,right,1,0,0,6,383
0,right,1,1,0,6,384
0,right,0,0,0,6,385
1,left,1,0,0,6,386
1,left,1,1,0,6,387
0,right,1,1,0,6,388
1,left,4,1,0,6,389
0,right,1,1,0,6,390
1,left,1,1,0,6,391
0,right,0,1,0,6,392
1,left,0,1,0,6,393
0,right,0,0,0,6,394
0,right,1,1,0,6,395
0,right,1,0,0,6,396
1,left,0,1,0,6,397
0,right,0,0,0,6,398
1,left,1,0,0,6,399
0,right,4,1,0,6,400
0,right,1,0,0,6,401
1,left,0,0,0,6,402
1,left,0,0,0,6,403
0,right,0,1,0,6,404
1,left,1,1,0,6,405
1,left,1,0,0,6,406
1,left,0,1,0,6,407
0,right,0,0,0,6,408
0,right,1,1,0,6,409
1,left,1,1,0,6,410
0,right,4,1,0,6,411
0,right,1,0,0,6,412
0,right,1,0,0,6,413
1,left,1,0,0,6,414
0,right,0,1,0,6,415
0,right,0,0,0,6,416
1,left,1,0,0,6,417
0,right,1,0,0,6,418
0,right,0,0,0,6,419
0,right,0,1,0,6,420
1,left,1,0,0,6,421
1,left,4,0,0,6,422
0,right,0,0,0,6,423
1,left,0,1,0,6,424
0,right,1,1,0,6,425
0,right,0,0,0,6,426
1,left,0,1,0,6,427
1,left,1,0,0,6,428
0,right,1,1,0,6,429
1,left,1,1,0,6,430
0,right,0,1,0,6,431
0,right,0,0,0,6,432
